1,1,Subdirección de Área Urbana
1,2,Departamento de Mantenimiento de las Vialidades
1,3,Subdirección de Área Rural
1,4,Subdirección de Regulación y Gestión Urbana
1,5,Unidad Jurídica
2,6,Coordinación de Limpia y Recolección de Residuos Sólidos
3,7,Unidad Técnica
3,8,Unidad de Asuntos Jurídicos
3,9,Coordinación de delegados
3,10,Junta Municipal de Reclutamiento
3,11,Unidad de Asuntos Religiosos
3,12,Unidad de Registro Civil
4,13,Coordinación de Mercados y Centrales de Abasto
5,14,Coordinación de Panteones.
6,15,Coordinación de Asuntos Religiosos
7,16,Dirección de Protección Ambiental  y Desarrollo Sustentable
8,17,Dirección de Desarrollo
9,18,Subdirección de Catastro
9,19,Subdireción de Ejecución Fiscal y Fiscalización
10,20,Asesoría Jurídica
10,21,Atención Psicológica
10,22,Capacitación
11,23,Coordinación de Promoción y Desarrollo Turístico Municipal
