1,"Dirección de Obras, Ordenamiento Territorial y Servicios Municipales",DOTSM,1
2,Coordinación de Limpia y Recolección de Residuos Sólidos,CLRR,1
3,Secretaría del Ayuntamiento,SA,1
4,Coordinación de Mercados y Centrales de Abasto,CMC,1
5,Coordinación de Panteones.,CP,1
6,Coordinación de Asuntos Religiosos,CAR,1
7,Dirección de Protección Ambiental  y Desarrollo Sustentable,DPADS,1
8,Dirección de Desarrollo,DD,1
9,Dirección de Finanzas,DF,1
10,Dirección de Atención a las Mujeres,DAM,1
11,Coordinación de Promoción y Desarrollo Turístico Municipal,CPDTM,1
